Data Type,Message Name,Prepack Code,Postpack Check,Postparse Check
ActivateServiceConnectionMessage,activateServiceConnectionMessage, ,jausMessage->dataSize == 0,0
CancelEventMessage,cancelEventMessage, ,jausMessage->dataSize == 0,0
ClearEmergencyMessage,clearEmergencyMessage, ,jausMessage->dataSize == 0,0
ConfirmComponentControlMessage,confirmComponentControlMessage, ,jausMessage->dataSize == 0,0
ConfirmEventRequestMessage,confirmEventRequestMessage, ,jausMessage->dataSize == 0,0
ConfirmServiceConnectionMessage,confirmServiceConnectionMessage, ,jausMessage->dataSize == 0,0
CreateEventMessage,createEventMessage, ,jausMessage->dataSize == 0,0
CreateServiceConnectionMessage,createServiceConnectionMessage, ,jausMessage->dataSize == 0,0
CreateVksObjectsMessage,createVksObjectsMessage, ,jausMessage->dataSize == 0,0
DeleteVksObjectsMessage,deleteVksObjectsMessage, ,jausMessage->dataSize == 0,0
EventMessage,eventMessage, ,jausMessage->dataSize == 0,0
QueryCameraCapabilitiesMessage,queryCameraCapabilitiesMessage, ,jausMessage->dataSize == 0,0
QueryCameraCountMessage,queryCameraCountMessage, ,jausMessage->dataSize != 0,0
QueryCameraFormatOptionsMessage,queryCameraFormatOptionsMessage, ,jausMessage->dataSize == 0,0
QueryCameraPoseMessage,queryCameraPoseMessage, ,jausMessage->dataSize == 0,0
QueryComponentAuthorityMessage,queryComponentAuthorityMessage, ,jausMessage->dataSize != 0,0
QueryComponentControlMessage,queryComponentControlMessage, ,jausMessage->dataSize != 0,0
QueryComponentStatusMessage,queryComponentStatusMessage, ,jausMessage->dataSize != 0,0
QueryConfigurationMessage,queryConfigurationMessage, ,jausMessage->dataSize == 0,0
QueryDataLinkStatusMessage,queryDataLinkStatusMessage, ,jausMessage->dataSize == 0,0
QueryDiscreteDevicesMessage,queryDiscreteDevicesMessage, ,jausMessage->dataSize == 0,0
QueryEventsMessage,queryEventsMessage, ,jausMessage->dataSize == 0,0
QueryGlobalPathSegmentMessage,queryGlobalPathSegmentMessage, ,jausMessage->dataSize == 0,0
QueryGlobalPoseMessage,queryGlobalPoseMessage, ,jausMessage->dataSize == 0,0
QueryGlobalVectorMessage,queryGlobalVectorMessage, ,jausMessage->dataSize == 0,0
QueryGlobalWaypointMessage,queryGlobalWaypointMessage, ,jausMessage->dataSize == 0,0
QueryHeartbeatPulseMessage,queryHeartbeatPulseMessage, ,jausMessage->dataSize != 0,0
QueryIdentificationMessage,queryIdentificationMessage, ,jausMessage->dataSize == 0,0
QueryImageMessage,queryImageMessage, ,jausMessage->dataSize != 0,0
QueryJointEffortsMessage,queryJointEffortsMessage, ,jausMessage->dataSize != 0,0
QueryJointForceTorquesMessage,queryJointForceTorquesMessage, ,jausMessage->dataSize != 0,0
QueryJointPositionsMessage,queryJointPositionsMessage, ,jausMessage->dataSize != 0,0
QueryJointVelocitiesMessage,queryJointVelocitiesMessage, ,jausMessage->dataSize != 0,0
QueryLocalPathSegmentMessage,queryLocalPathSegmentMessage, ,jausMessage->dataSize == 0,0
QueryLocalPoseMessage,queryLocalPoseMessage, ,jausMessage->dataSize == 0,0
QueryLocalVectorMessage,queryLocalVectorMessage, ,jausMessage->dataSize != 0,0
QueryLocalWaypointMessage,queryLocalWaypointMessage, ,jausMessage->dataSize == 0,0
QueryManipulatorSpecificationsMessage,queryManipulatorSpecificationsMessage, ,jausMessage->dataSize != 0,0
QueryPathSegmentCountMessage,queryPathSegmentCountMessage, ,jausMessage->dataSize != 0,0
QueryPayloadDataElementMessage,queryPayloadDataElementMessage, ,jausMessage->dataSize == 0,0
QueryPayloadInterfaceMessage,queryPayloadInterfaceMessage, ,jausMessage->dataSize != 0,0
QueryPlatformOperationalDataMessage,queryPlatformOperationalDataMessage, ,jausMessage->dataSize == 0,0
QueryPlatformSpecificationsMessage,queryPlatformSpecificationsMessage, ,jausMessage->dataSize == 0,0
QueryRelativeObjectPositionMessage,queryRelativeObjectPositionMessage, ,jausMessage->dataSize == 0,0
QuerySelectedCameraMessage,querySelectedCameraMessage, ,jausMessage->dataSize != 0,0
QuerySelectedDataLinkStatusMessage,querySelectedDataLinkStatusMessage, ,jausMessage->dataSize != 0,0
QueryServicesMessage,queryServicesMessage, ,jausMessage->dataSize != 0,0
QuerySubsystemListMessage,querySubsystemListMessage, ,jausMessage->dataSize != 0,0
QueryTimeMessage,queryTimeMessage, ,jausMessage->dataSize == 0,0
QueryToolPointMessage,queryToolPointMessage, ,jausMessage->dataSize != 0,0
QueryTravelSpeedMessage,queryTravelSpeedMessage, ,jausMessage->dataSize != 0,0
QueryVelocityStateMessage,queryVelocityStateMessage, ,jausMessage->dataSize == 0,0
QueryVksBoundsMessage,queryVksBoundsMessage, ,jausMessage->dataSize == 0,0
QueryVksFeatureClassMetadataMessage,queryVksFeatureClassMetadataMessage, ,jausMessage->dataSize == 0,0
QueryVksObjectsMessage,queryVksObjectsMessage, ,jausMessage->dataSize == 0,0
QueryWaypointCountMessage,queryWaypointCountMessage, ,jausMessage->dataSize != 0,0
QueryWrenchEffortMessage,queryWrenchEffortMessage, ,jausMessage->dataSize == 0,0
RejectComponentControlMessage,rejectComponentControlMessage, ,jausMessage->dataSize != 0,0
